IDDOC,SP5177,SP5178,SP5227,SP5228,SP5229,SP5179,SP5180,SP5181,SP5182,SP5183,SP5184,SP5185,SP5186,SP8915,SP8916,SP212
"JTAW","1","Космос - май","2017-04-30","41E","2017-04-01","0",72383,0,0.01,0.0,0.0,0.0,0.01,0,0,"0     0"
"KB3E","1","","2017-04-20","41E","2017-03-01","0",490,490,970.2,53.0,0.0,0.01,1023.21,0,0,"0     0"
"JTAY","1","","2017-04-30","41E","2017-04-01","0",12988,0,0.01,0.0,0.0,0.0,0.01,0,0,"0     0"
"KFLV","1","","2017-04-22","41E","2017-04-01","0",8373,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"KEEY","1","","2017-04-24","41E","2017-04-01","0",77865,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"KB48","1","","2017-04-20","41E","2017-04-01","0",2059,568,1124.64,0.0,0.0,0.01,1124.65,0,0,"0     0"
"KB4K","1","","2017-04-20","41E","2017-04-01","0",22923,553,1094.94,0.0,0.0,0.01,1094.95,0,0,"0     0"
"QL2G","1","","2017-04-24","41E","2017-04-01","0",20867,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"JZG3","1","Ленинградская - апрель","2017-04-18","41E","2017-04-01","0",155879,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"JZG5","1","Рулон - апрель","2017-04-24","41E","2017-04-01","0",88660,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"JZIE","1","Новоорловская - апрель","2017-04-24","41E","2017-04-01","0",33560,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"JZIQ","1","Рабочая - апрель","2017-04-24","41E","2017-04-01","0",31232,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"KWMM","1","","2017-04-29","41E","2017-04-01","0",34824,440,844.8,590.0,20.0,0.01,1454.81,0,0,"0     0"
"ICZT","1","","2017-04-20","41E","2017-04-01","0",30032,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"K3QM","1","","2017-04-20","41E","2017-04-01","0",53304,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"IQ24","1","","2017-04-25","41E","2017-04-01","0",14695,0,0.0,0.0,0.0,500.0,500.0,0,0,"0     0"
"K3QR","1","","2017-04-28","41E","2017-04-01","0",30772,0,0.0,0.0,0.0,500.0,500.0,0,0,"0     0"
"K3QU","1","","2017-04-20","41E","2017-04-01","0",22940,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"K3QW","1","","2017-04-30","41E","2017-04-01","0",13193,0,0.0,0.0,0.0,250.0,250.0,0,0,"0     0"
"K3QX","1","","2017-04-30","41E","2017-04-01","0",16446,0,0.0,0.0,0.0,250.0,250.0,0,0,"0     0"
"K3QZ","1","","2017-04-30","41E","2017-04-01","0",16446,0,0.0,0.0,0.0,250.0,250.0,0,0,"0     0"
"SZWU","1","","2017-04-30","41E","2017-06-01","0",17712,790,1872.3,0.0,0.0,0.01,1872.31,0,0,"0     0"
"SZWV","1","","2017-04-30","41E","2017-04-01","0",18261,549,1301.13,0.0,0.0,0.01,1301.14,0,0,"0     0"
"K7V0","1","","2017-05-15","41E","2017-04-01","0",6349,577,1419.42,0.0,2.57,0.01,1422.0,0,0,"0     0"
"KAWW","1","","2017-05-10","41E","2017-04-01","0",2636,875,2012.5,0.0,0.0,0.01,2012.51,0,0,"0     0"
"K7V4","1","","2017-05-03","41E","2017-04-01","0",18837,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"K7V7","1","","2017-05-10","41E","2017-04-01","0",2504,367,770.7,80.0,0.0,1000.0,1850.7,0,0,"0     0"
"KAXI","1","","2017-05-07","41E","2017-04-01","0",39132,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"KAXV","1","","2017-05-10","41E","2017-04-01","0",19292,406,1177.4,0.0,0.0,0.01,1177.41,0,0,"0     0"
"JW0R","1","","2017-05-05","41E","2017-04-01","0",26193,377,942.5,0.0,0.0,0.01,942.51,0,0,"0     0"
"JW0U","1","Кожемяки - май","2017-05-05","41E","2017-04-01","0",19008,686,1715.0,0.0,0.0,0.01,1715.01,0,0,"0     0"
"JW11","1","Простор - май","2017-05-05","41E","2017-04-01","0",45563,532,1276.8,0.0,0.0,0.01,1276.81,0,0,"0     0"
"JW13","1","Ясень - май","2017-05-05","41E","2017-04-01","0",37616,650,1625.0,0.0,0.0,0.01,1625.01,0,0,"0     0"
"JW15","1","Конфетти","2017-05-05","41E","2017-04-01","0",34279,451,1217.7,0.0,0.0,0.01,1217.71,0,0,"0     0"
"KB09","1","","2017-05-05","41E","2017-04-01","0",10068,425,1020.0,0.0,9.0,0.01,1029.01,0,0,"0     0"
"KB0V","1","","2017-05-10","41E","2017-04-01","0",4385,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"KB1I","1","","2017-05-05","41E","2017-04-01","0",7270,0,0.0,0.0,0.0,0.01,0.01,0,0,"0     0"
"KUT6","1","","2017-05-03","41E","2017-04-01","0",10521,517,1473.45,0.0,0.0,0.01,1473.46,0,0,"0     0"
"JZET","1","Клочко - май","2017-05-12","41E","2017-04-01","0",31665,0,839.0,22.0,0.0,0.01,861.01,0,0,"0     0"
